TestNo,TestName
1,net.sf.doodleproject.numerics4j.exception.ConvergenceExceptionTest
2,net.sf.doodleproject.numerics4j.exception.NumericExceptionTest
3,net.sf.doodleproject.numerics4j.root.BracketTest
4,net.sf.doodleproject.numerics4j.IterativeMethodTest
5,net.sf.doodleproject.numerics4j.statistics.distribution.SaddlePointApproximationTest
6,net.sf.doodleproject.numerics4j.root.FalsePositionRootFinderTest
7,net.sf.doodleproject.numerics4j.root.NewtonRootFinderTest
8,net.sf.doodleproject.numerics4j.root.SecantRootFinderTest
9,net.sf.doodleproject.numerics4j.series.PowerSeriesTest
10,net.sf.doodleproject.numerics4j.series.SeriesTest
11,net.sf.doodleproject.numerics4j.statistics.distribution.ExponentialDistributionTest
12,net.sf.doodleproject.numerics4j.continuedfraction.ContinuedFractionTest
13,net.sf.doodleproject.numerics4j.integration.RombergIntegratorTest
14,net.sf.doodleproject.numerics4j.root.BisectionRootFinderTest
15,net.sf.doodleproject.numerics4j.special.BetaTest
16,net.sf.doodleproject.numerics4j.statistics.distribution.LaplaceDistributionTest
17,net.sf.doodleproject.numerics4j.statistics.distribution.RayleighDistributionTest
18,net.sf.doodleproject.numerics4j.integration.SimpsonsIntegratorTest
19,net.sf.doodleproject.numerics4j.root.BrentRootFinderTest
20,net.sf.doodleproject.numerics4j.special.TrigonometricTest
21,net.sf.doodleproject.numerics4j.statistics.distribution.LogisticDistributionTest
22,net.sf.doodleproject.numerics4j.statistics.distribution.UniformDistributionTest
23,net.sf.doodleproject.numerics4j.statistics.distribution.WeibullDistributionTest
24,net.sf.doodleproject.numerics4j.util.DoubleArrayTest
25,net.sf.doodleproject.numerics4j.special.GammaTest
26,net.sf.doodleproject.numerics4j.special.ErfTest
27,net.sf.doodleproject.numerics4j.statistics.distribution.PoissonDistributionTest
28,net.sf.doodleproject.numerics4j.integration.AdaptiveIntegratorTest
29,net.sf.doodleproject.numerics4j.statistics.distribution.CauchyDistributionTest
30,net.sf.doodleproject.numerics4j.statistics.distribution.BinomialDistributionTest
31,net.sf.doodleproject.numerics4j.statistics.distribution.GeometricDistributionTest
32,net.sf.doodleproject.numerics4j.statistics.distribution.HypergeometricDistributionTest
33,net.sf.doodleproject.numerics4j.statistics.distribution.NegativeBinomialDistributionTest
34,net.sf.doodleproject.numerics4j.statistics.distribution.ChiSquaredDistributionTest
35,net.sf.doodleproject.numerics4j.statistics.distribution.GammaDistributionTest
36,net.sf.doodleproject.numerics4j.statistics.distribution.LogNormalDistributionTest
37,net.sf.doodleproject.numerics4j.statistics.distribution.NormalDistributionTest
38,net.sf.doodleproject.numerics4j.statistics.distribution.FDistributionTest
39,net.sf.doodleproject.numerics4j.statistics.distribution.TDistributionTest
40,net.sf.doodleproject.numerics4j.statistics.distribution.BetaDistributionTest
41,net.sf.doodleproject.numerics4j.integration.TrapezoidalIntegratorTest
